City/Community,,House_units,House_price,House_change,House_foot,Condo_units,Condo_price,Condo_change,Month,
Countywide,,1588,565,0.051,336,785,410,0.065,Jan18,
Allied Gardens,92120,17,680,0.187,561,11,374,0.336,Jan18,
Alpine,91901,14,629,0.313,275,2,275,0.339,Jan18,
Bay Park,92110,12,690,-0.025,526,17,415,0.145,Jan18,
Bonita,91902,12,819,0.316,281,4,396,0.172,Jan18,
Bonsall,92003,3,590,-0.224,232,2,379,0.467,Jan18,
Borrego Springs,92004,10,190,0.086,133,1,84,-0.618,Jan18,
Boulevard,91905,3,130,,104,0,,,Jan18,
Campo,91906,2,283,0.091,190,0,,,Jan18,
Cardiff-by-the-Sea,92007,6,1099,-0.433,723,2,571,-0.479,Jan18,
Carlsbad,92008,9,799,-0.018,399,11,540,-0.018,Jan18,
Carlsbad,92009,26,1000,0.093,393,21,510,0.153,Jan18,
Carlsbad,92010,13,760,0.024,382,3,565,0.024,Jan18,
Carlsbad,92011,12,994,0.343,483,5,855,0.358,Jan18,
Carmel Valley,92130,12,1348,0.078,321,18,628,0.152,Jan18,
Chula Vista,91910,24,495,0.065,304,9,422,0.158,Jan18,
Chula Vista,91911,28,474,0.030,282,9,312,0.360,Jan18,
Chula Vista,91913,29,576,0.002,274,18,354,0.045,Jan18,
Chula Vista,91914,15,700,-0.060,274,4,353,-0.032,Jan18,
Chula Vista,91915,9,574,0.052,458,12,388,0.033,Jan18,
Clairemont,92117,24,664,0.124,407,7,365,0.014,Jan18,
College Grove,92115,32,515,-0.046,1042,17,253,0.020,Jan18,
Coronado,92118,14,1865,-0.085,895,12,1413,0.540,Jan18,
Del Mar,92014,15,2100,0.224,243,8,1520,0.388,Jan18,
Descanso,91916,2,303,,,0,,,Jan18,
Downtown,92101,0,,,,61,535,-0.092,Jan18,
Dulzura,91917,0,,,436,0,,,Jan18,
East San Diego,92102,13,440,0.166,412,9,274,-0.173,Jan18,
East San Diego,92105,22,410,0.090,308,4,220,0.007,Jan18,
El Cajon,92019,26,549,0.114,322,9,295,0.054,Jan18,
El Cajon,92020,23,475,0.022,301,8,272,0.124,Jan18,
El Cajon,92021,39,480,0.055,294,7,260,-0.011,Jan18,
Encanto,92114,33,415,0.122,475,0,,,Jan18,
Encinitas,92024,21,1110,0.028,276,12,586,-0.132,Jan18,
Escondido,92025,22,480,-0.035,283,10,382,0.060,Jan18,
Escondido,92026,36,522,0.186,303,4,379,0.595,Jan18,
Escondido,92027,47,443,0.009,323,8,222,0.094,Jan18,
Escondido,92029,9,878,0.538,282,2,428,-0.038,Jan18,
Fallbrook,92028,36,530,0.082,355,1,200,-0.051,Jan18,
Hillcrest,92103,15,778,-0.088,477,18,487,-0.027,Jan18,
Imperial Beach,91932,14,519,-0.026,,11,293,-0.368,Jan18,
Jacumba,91934,0,,,270,0,,,Jan18,
Jamul,91935,12,525,-0.112,265,0,,,Jan18,
Julian,92036,8,400,0.325,864,0,,,Jan18,
La Jolla,92037,19,2699,0.384,294,19,999,0.651,Jan18,
La Mesa,91941,20,657,0.216,385,4,285,0.036,Jan18,
La Mesa,91942,16,535,0.158,333,11,354,0.221,Jan18,
Lakeside,92040,22,503,0.158,327,8,184,-0.184,Jan18,
Lemon Grove,91945,19,445,0.122,430,0,,,Jan18,
Linda Vista,92111,18,578,0.061,365,10,393,0.049,Jan18,
Logan Heights,92113,15,375,0.119,393,1,225,0.004,Jan18,
Mira Mesa,92126,23,555,0.024,391,26,357,0.087,Jan18,
Mission Village,92123,16,566,0.089,370,6,473,0.084,Jan18,
National City,91950,13,412,0.123,626,4,323,0.772,Jan18,
Normal Heights,92116,21,649,-0.218,463,13,365,0.104,Jan18,
North Park,92104,24,740,0.182,628,13,400,0.194,Jan18,
Ocean Beach,92107,7,925,-0.033,809,5,517,0.240,Jan18,
Oceanside,92054,10,753,0.224,380,11,539,0.078,Jan18,
Oceanside,92056,56,536,0.177,335,5,359,0.604,Jan18,
Oceanside,92057,55,460,-0.042,280,9,348,0.171,Jan18,
Oceanside,92058,,,,,,,,Jan18,
Pacific Beach,92109,11,1275,0.063,710,24,514,-0.258,Jan18,
Palomar Mountain,92060,0,,,,0,,,Jan18,
Paradise Hills,92139,13,405,-0.024,347,7,305,-0.045,Jan18,
Pauma Valley,92061,4,401,,226,1,375,0.543,Jan18,
Pine Valley,91962,3,425,0.065,281,0,,,Jan18,
Point Loma,92106,12,1058,0.202,525,9,850,0.283,Jan18,
Potrero,91963,1,263,,231,0,,,Jan18,
Poway,92064,34,772,0.169,387,2,450,0.415,Jan18,
Ramona,92065,35,510,0.030,284,2,280,0.067,Jan18,
Ranch Bernardo,92127,28,1158,0.265,373,14,615,0.453,Jan18,
Ranch Bernardo,92128,26,773,0.092,381,37,470,0.039,Jan18,
Ranch Penasquitos,92129,15,737,-0.001,370,9,305,-0.024,Jan18,
Ranch Santa Fe,92067,8,2800,0.577,416,3,1100,0.158,Jan18,
Ranch Santa Fe,92091,4,1760,0.402,548,0,,,Jan18,
Ranchita,92066,1,128,,173,0,,,Jan18,
San Carlos,92119,20,617,0.126,375,12,320,0.232,Jan18,
San Diego,92108,1,655,0.191,,26,338,-0.127,Jan18,
San Diego,92112,0,,,308,0,,,Jan18,
San Marcos,92069,28,593,0.022,323,4,365,-0.172,Jan18,
San Marcos,92078,16,694,-0.061,290,21,460,0.011,Jan18,
San Ysidro,92173,9,455,0.230,,6,190,-0.237,Jan18,
Santa Ysabel,92070,0,,,369,0,,,Jan18,
Santee,92071,30,523,0.106,408,19,349,0.012,Jan18,
Scripps Ranch,92131,10,848,-0.031,563,11,465,0.107,Jan18,
Solana Beach,92075,7,1500,0.000,307,8,933,0.111,Jan18,
Sorrento Valley,92121,4,1061,0.405,427,1,660,0.234,Jan18,
South San Diego,92154,19,500,0.149,336,8,336,0.122,Jan18,
Spring Valley,91977,48,453,0.080,285,11,330,0.542,Jan18,
Spring Valley,91978,9,565,0.088,262,3,280,1.074,Jan18,
Tierrasanta,92124,10,650,0.036,357,2,443,0.052,Jan18,
University City,92122,4,830,0.121,473,26,445,-0.110,Jan18,
Valley Center,92082,10,595,0.050,311,0,,,Jan18,
Vista,92081,18,570,0.129,295,3,305,-0.321,Jan18,
Vista,92083,19,445,0.134,303,7,339,0.078,Jan18,
